,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
4,0.6607287449392713,0.6469194312796208,0.5027624309392266,0.5658031088082902,0.643722255932041,0.7082388571306911,0.027782342600962767,0.042851335404367676,0.5834050774997371,0.22999681781364256,0.2269898590717587,2.153005306875865,1.153005306875865,0.35953243432467813,0.10432592461667625,-0.2319291794706772,0.2319291794706772,0.9786234817813765,0.02137651821862352,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6639676113360324,0.6509433962264151,0.5082872928176796,0.5708376421923474,0.6472072302238687,0.7135148873204952,0.025724845463942797,0.039645573762654415,0.5879039484940323,0.2216594740148551,0.21900941414279065,2.075793495844257,1.0757934958442572,0.3513135064381602,0.09586849896160135,-0.22359100269988075,0.22359100269988075,0.9760323886639676,0.023967611336032424,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6574898785425102,0.6371134020618556,0.5557553956834532,0.5936599423631125,0.6482753414352465,0.6893614710587935,0.04428232706621868,0.06766525269330292,0.595336348636547,0.28895990199412336,0.2985729548229549,2.533411718596904,1.5334117185969038,0.3385390741662519,0.22918293000260215,-0.283861002084427,0.283861002084427,0.9831578947368421,0.01684210526315788,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6582995951417004,0.6515837104072398,0.5179856115107914,0.5771543086172345,0.6455907438997256,0.6836028967694768,0.005423441507393129,0.00840116919768474,0.6562522799192738,0.10322647918395557,0.10470085470085472,1.3629629629629632,0.36296296296296315,0.1898332503733201,0.0009758001561280261,-0.09540452526472407,0.09540452526472407,0.9789473684210527,0.021052631578947323,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6850202429149798,0.6743215031315241,0.5809352517985612,0.6241545893719808,0.6755928099935369,0.7293920386518473,0.029308450846003392,0.04485882568761756,0.5838546078262048,0.23679379475882806,0.24412393162393162,2.0803782505910164,1.0803782505910164,0.33101045296167253,0.13186312776476708,-0.2314367903632198,0.2314367903632198,0.9949797570850203,0.005020242914979711,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6874493927125506,0.6914414414414415,0.552158273381295,0.614,0.6751954842606034,0.7276941333531112,0.04687416705852551,0.07255744228985934,0.5835191752456673,0.29475231470493457,0.29925976800976795,2.8580904998815444,1.8580904998815444,0.4026256844201095,0.17570908144678637,-0.2891673829334479,0.2891673829334479,0.9949797570850203,0.005020242914979711,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6834008097165992,0.6829268292682927,0.5539568345323741,0.6117179741807348,0.6716765026859219,0.7200668036998972,0.023755800333321253,0.03668112191310113,0.6129016477320043,0.21319318866259956,0.2171855921855922,1.982056590752243,0.9820565907522429,0.30139372822299654,0.10772833723653397,-0.20456103272976525,0.20456103272976525,0.982995951417004,0.01700404858299598,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.674493927125506,0.6782407407407407,0.5269784172661871,0.5931174089068826,0.6611328021529757,0.7201264025598373,0.03625732828979614,0.05637724306844838,0.600173505892194,0.2605021276921543,0.2628586691086691,2.497934333550772,1.4979343335507722,0.3755599800895968,0.1362217017954723,-0.25589084094253456,0.25589084094253456,0.9807287449392712,0.019271255060728798,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6299595141700405,0.6205035971223022,0.583756345177665,0.6015693112467306,0.628058296812435,0.666063677733287,0.0018781721110247007,0.002811632548149334,0.6024466109496615,0.061182769552986,0.06379259702936652,1.1560575961226875,0.15605759612268755,0.04717081613633334,0.04101498859563374,-0.04409290236598354,0.04409290236598354,0.9855870445344129,0.014412955465587074,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6218623481781377,0.6178707224334601,0.5499153976311336,0.5819158460161146,0.6189017981944488,0.6584008575842608,0.004142338274202351,0.0062293141475161275,0.6303115927704572,0.09066576528176151,0.09395679392742162,1.2574891884213517,0.2574891884213517,0.09233124750366128,0.061665037471489104,-0.0769981424875752,0.0769981424875752,0.9846153846153847,0.01538461538461533,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6623481781376518,0.6733067729083665,0.571912013536379,0.6184812442817932,0.6586268142216056,0.7213639373206797,0.03895392596186892,0.05887068264392112,0.5755780915324069,0.2729516838698053,0.2809690554214925,2.2542226906959404,1.2542226906959404,0.3053255225669019,0.21741609644835452,-0.2613708095076282,0.2613708095076282,0.9951417004048583,0.004858299595141724,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.654251012145749,0.6971153846153846,0.4906937394247039,0.5759682224428997,0.6475207827558302,0.7205888535065318,0.02260983198110139,0.03514280336454543,0.6463435956232181,0.20771618035057307,0.20574429975868644,2.012355474948991,1.0123554749489911,0.21070430035947274,0.16080156402737047,-0.1857529321934216,0.1857529321934216,0.9954655870445344,0.004534412955465639,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6550607287449393,0.6813186813186813,0.5245346869712352,0.5927342256214149,0.6496897037340648,0.7161932086893464,0.039413770316740204,0.060361148715227075,0.571996954061384,0.2727294090729304,0.2757108383774974,2.4558877197250775,1.4558877197250775,0.2993076820663027,0.2153388725969371,-0.2573232773316199,0.2573232773316199,0.9729554655870445,0.027044534412955512,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
